Avg_Area_Income,Avg_Area_House_Age,Avg_Area_Number_of_Rooms,Avg_Area_Number_of_Bedrooms,Area_Population,Address,Neighbourhood,Price
79545,5,7,4,23086,"208 Michael Ferry Apt. 674
Laurabury, NE 37010-5101",Rich,1059033
79248,6,6,3,40173,"188 Johnson Views Suite 079
Lake Kathleen, CA 48958",Super_Rich,1505890
61287,5,8,5,36882,"9127 Elizabeth Stravenue
Danieltown, WI 06482-3489",Rich,1058987
63345,7,5,3,34310,"USS Barnett
FPO AP 44820",Rich,1260616
59982,5,7,4,26354,"USNS Raymond
FPO AE 09386",Middle_Class,630943
80175,4,6,4,26748,"06039 Jennifer Islands Apt. 443
Tracyport, KS 16077",Rich,1068138
64698,6,8,3,60828,"4759 Daniel Shoals Suite 442
Nguyenburgh, CO 20247",Super_Rich,1502055
78394,6,6,2,36516,"972 Joyce Viaduct
Lake William, TN 17778-6483",Super_Rich,1573936
59927,5,6,2,29387,"USS Gilbert
FPO AA 20957",Middle_Class,798869
81885,4,8,6,40149,"Unit 9446 Box 0958
DPO AE 97025",Super_Rich,1545154
80527,8,5,4,47224,"6368 John Motorway Suite 700
Janetbury, NM 26854",Super_Rich,1707045
50593,4,7,4,34343,"911 Castillo Park Apt. 717
Davisborough, PW 78603",Middle_Class,663732
39033,7,7,3,39220,"209 Natasha Stream Suite 961
Huffmanland, NE 52457",Rich,1042814
73163,6,5,2,32326,"829 Welch Track Apt. 992
North John, AR 26532-5136",Rich,1291331
69391,5,8,4,35521,"PSC 5330, Box 4420
APO AP 08302",Rich,1402818
73091,5,8,4,23929,"2278 Shannon View
North Carriemouth, NM 84617",Rich,1306674
79706,5,8,3,39717,"064 Hayley Unions
Nicholsborough, HI 44161-1887",Super_Rich,1556786
61929,4,5,4,24595,"5498 Rachel Locks
New Gregoryshire, PW 54755",Middle_Class,528485
63508,5,7,5,35719,"Unit 7424 Box 2786
DPO AE 71255",Rich,1019425
62085,5,7,5,44922,"19696 Benjamin Cape
Stephentown, ME 36952-4733",Rich,1030591
86294,6,8,4,47560,"030 Larry Park Suite 665
Thomashaven, HI 87941-5197",Super_Rich,2146925
60835,5,6,2,45574,"USNS Brown
FPO AP 85833",Middle_Class,929247
64490,4,5,4,40358,"95198 Ortiz Key
Port Sara, TN 24541-2855",Middle_Class,718887
60697,6,7,6,28140,"9003 Jay Plains Suite 838
Lake Elizabeth, IN 90622-0804",Middle_Class,743999
59748,5,7,4,27809,"24282 Paul Valley
West Perry, MI 03169-5806",Middle_Class,895737
56974,8,7,4,40694,"61938 Brady Falls
Lewisfort, DE 61227",Rich,1453974
82173,4,6,2,38853,"3599 Ramirez Springs
Jacksonhaven, AZ 72798",Rich,1125692
64626,5,6,4,27784,"073 Christopher Falls Suite 882
West Cynthia, MA 89075-2814",Middle_Class,975429
90499,6,4,3,33970,"6531 Chase Prairie Apt. 245
Susanshire, MN 22365",Rich,1240763
59323,6,8,4,37520,"17124 Johnson Squares
Lake Robertfurt, AL 61811-3832",Super_Rich,1577017
77811,5,6,3,33754,"1359 Mitchell Vista
Courtneyfort, NY 93065-7224",Rich,1246830
68652,6,6,4,39355,"4343 Joshua Lake Suite 096
Pierceview, NV 62614-9110",Rich,1170720
55041,7,8,5,30122,"0057 Jacob Coves Apt. 932
Lake Emily, VA 39465-6041",Rich,1071279
50218,6,7,6,16810,"039 Jordan Pike
Emilyville, ID 27442",Middle_Class,534305
55909,5,9,6,22355,"66338 Novak Curve Suite 628
Taylorborough, OK 87142-6766",Middle_Class,936368
74372,5,6,2,39395,"7167 Angela Park Suite 013
Morrishaven, NH 66937-4811",Rich,1199193
78667,5,7,4,27637,"34964 Sara Fields Apt. 584
Port Raymondville, MO 63585",Rich,1233220
78699,5,6,3,22836,"7585 Lynn Loop
East Judy, WV 73336",Rich,1081150
53128,5,5,2,32947,"Unit 1388 Box 9350
DPO AP 70848",Middle_Class,524712
17796,4,6,2,47162,"9932 Eric Circles
Lake Martha, WY 34611-6127",Middle_Class,302355
58566,6,5,2,39705,"7896 Walker Spring
Loriport, MH 72956",Rich,1026817
75537,7,7,6,32778,"549 Darren Plaza
Lake Kevin, UT 27155",Super_Rich,1762214
46147,6,7,4,27161,"90634 Michelle Valleys
North Victoria, WV 99370",Middle_Class,882057
70421,6,7,4,43183,"580 Lara Neck Apt. 541
Davidsonstad, ID 34638-9802",Super_Rich,1744932
62614,5,7,6,26888,"43087 Jerome Field
West Deborah, SD 49213",Rich,1153871
66394,7,7,3,39741,"71956 Jenkins Fall
Brooketown, PW 67485-0764",Super_Rich,1499988
73946,4,7,6,35261,"8034 Pierce Prairie Suite 727
Devonfurt, NE 33104-8027",Rich,1109588
69144,7,5,3,19030,"Unit 8108 Box 5159
DPO AP 04678",Middle_Class,980177
77278,6,6,2,21725,"08639 Garcia Port
Anthonybury, CT 17971",Rich,1323952
86754,6,6,4,43017,"91863 Curtis Point
New Richard, AK 99996-7554",Super_Rich,1662494
74399,6,7,6,41084,"03819 Lee Junction Suite 046
Mooneyborough, WA 19656",Rich,1417819
49408,5,5,3,26881,"7796 Joseph Burg
Danielsside, RI 70370",Middle_Class,549976
62279,6,6,4,35263,"173 Mendoza Land
West John, NJ 57690",Rich,1054770
73078,5,6,3,54915,"3288 Lee Pass
South Julieton, PW 02759-4964",Rich,1415647
72942,4,7,6,24377,"86908 Marshall Port Suite 252
Scotttown, NM 69143",Middle_Class,948788
63819,5,8,4,27825,"951 Bryant Dale Suite 735
Lake Jacqueline, NH 95266",Rich,1159596
73265,8,7,3,21030,"00301 Bradshaw Avenue Suite 833
Suzannefurt, IN 00654-8754",Super_Rich,1547133
68488,6,7,5,18267,"84473 Ochoa Pines Apt. 808
Jamesport, KY 70207-2955",Rich,1186688
55193,7,5,4,32537,"13706 Morgan Turnpike Suite 378
Hohaven, NC 42699",Middle_Class,772111
77434,6,5,3,36252,"4872 Delgado Ramp
North James, IA 36544",Rich,1172730
66158,4,6,2,37098,"73202 Christopher Tunnel
New Roberttown, MN 08925-1536",Rich,1111085
60502,7,5,4,33579,"8781 Olivia Port Apt. 225
Thompsonside, VT 22884",Rich,1022781
60910,5,7,4,43347,"PSC 9354, Box 0703
APO AA 58696-1278",Rich,1274474
73931,6,4,4,36543,"271 Johnson Hills Apt. 001
Mcculloughfurt, FM 70847",Rich,1213530
59539,6,7,5,58600,"122 Russo Neck
South Kevin, KY 20712-5282",Rich,1411730
56547,5,6,3,37585,"85225 Christopher Inlet Apt. 627
West Calebberg, KS 76460",Middle_Class,858685
65950,5,6,3,40110,"7125 Mullins Cliff
Maryborough, WY 66971",Rich,1200961
74533,6,5,4,49481,"905 Lane Pines Suite 348
Brownborough, DE 57196-3319",Super_Rich,1520234
66422,7,7,6,31019,"61090 Griffith Ridges
Craigstad, AK 28807-8602",Rich,1360908
74334,5,6,4,41640,"270 Jennifer Loop Suite 343
South Jesse, ND 60570-1483",Rich,1360920
63538,4,7,3,43282,"10973 Clark Trafficway
Meyersbury, LA 63237",Rich,1146532
83953,7,6,3,37283,"91733 Baker Orchard
South Kyle, KS 37301",Super_Rich,1789098
57279,5,6,3,44023,"024 William Course
East Charlotteview, DE 69073-3104",Middle_Class,852099
56553,5,7,3,29682,"PSC 4455, Box 3268
APO AP 45454",Middle_Class,746096
75795,5,7,6,33197,"562 Brown Junction Suite 282
Christopherborough, KS 20719",Super_Rich,1534479
70848,5,6,3,40458,"USCGC Thompson
FPO AA 13237-3887",Rich,1215608
59787,5,6,3,32402,"65884 Johns Valley Apt. 621
Ethanbury, NY 07783",Middle_Class,941594
64826,4,8,4,60286,"Unit 2139 Box 3667
DPO AP 49517",Rich,1204598
65925,7,7,3,34171,"253 Golden Island
East Donald, CT 91882",Super_Rich,1597655
64419,6,8,6,39318,"4861 Steven Plains Suite 066
Port Reginaland, MN 06152-7205",Super_Rich,1492011
58544,8,7,4,30865,"5255 Rebecca Junctions Suite 240
Royshire, WI 85782-2398",Rich,1421216
68791,4,6,4,48423,"2833 Townsend Cliffs
New Tommy, MP 86130-3426",Rich,1132522
82061,4,5,4,36271,"708 Pena Ramp
Terryburgh, CA 31572-1304",Rich,1102821
80659,5,7,6,52947,"8030 Ruiz Dale
Shermanchester, KY 56950-5684",Super_Rich,1856211
66668,6,7,3,47075,"Unit 3857 Box 9497
DPO AE 92239",Super_Rich,1687998
64721,5,6,4,36115,"042 Mitchell Mountains
Adamsview, OR 44424",Rich,1063423
65199,6,6,3,28366,"07420 Victoria Trail Apt. 904
Port Kevinbury, OR 86759",Rich,1177289
74579,4,5,3,42806,"38449 Shaw Glen
Pattonside, TX 98415",Rich,1173474
76273,7,4,3,46974,"82387 Hensley Bypass
Danielmouth, ME 30791",Super_Rich,1637259
